Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cns_mot_sp_vi,cns_vital_signs_1,,yesno,"Motor Speed-Validation Indicator
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_hits_imm_score,cns_vital_signs_1,,text,"VBM-Correct Hits-Immediate-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_hit_imm_std_sc,cns_vital_signs_1,,text,"VBM-Correct Hits-Immediate-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_pas_imm_score,cns_vital_signs_1,,text,"VBM-Correct Passes-Immediate-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_pas_imm_std_sc,cns_vital_signs_1,,text,"VBM-Correct Passes-Immediate-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_hits_del_score,cns_vital_signs_1,,text,"VBM-Correct Hits-Delay-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_hits_del_std_sc,cns_vital_signs_1,,text,"VBM-Correct Hits-Delay-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_pas_del_score,cns_vital_signs_1,,text,"VBM-Correct Passes-Delay-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vbm_cor_pas_del_std_sc,cns_vital_signs_1,,text,"VBM-Correct Passes-Delay-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_hit_imm_score,cns_vital_signs_1,,text,"VIM-Correct Hits-Immediate-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_hit_imm_std_sc,cns_vital_signs_1,,text,"VIM Correct Hits-Immediate-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_pas_imm_score,cns_vital_signs_1,,text,"VIM-Correct Passes-Immediate-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_pas_std_sc,cns_vital_signs_1,,text,"VIM Correct Passes-Immediate-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_hit_del_score,cns_vital_signs_1,,text,"VIM Correct Hits-Delay-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_hit_del_std_sc,cns_vital_signs_1,,text,"VIM Correct Hits-Delay-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_pas_del_sc,cns_vital_signs_1,,text,"VIM Correct Passes-Delay-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_vim_cor_pas_del_std_sc,cns_vital_signs_1,,text,"VIM Correct Passes-Delay-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_ftt_right_tap_av,cns_vital_signs_1,,text,"FTT-Right Taps Average-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,, @HIDDEN-SURVEY
cns_ftt_right_tap_av_std_sc,cns_vital_signs_1,,text,"FTT-Right Tap Average-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_ftt_left_tap_av,cns_vital_signs_1,,text,"FTT-Left Taps Average
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_ftt_left_tap_av_st_sc,cns_vital_signs_1,,text,"FTT-Left Taps Average-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sdc_cor_resp_sc,cns_vital_signs_1,,text,"SDC-Correct Responses
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sdc_cor_resp_st_sc,cns_vital_signs_1,,text,"SDC-Correct Responses Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sdc_err_sc,cns_vital_signs_1,,text,"SDC-Errors
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sdc_err_std_sc,cns_vital_signs_1,,text,"SDC-Errors Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_sim_reac_tim_sc,cns_vital_signs_1,,text,"ST-Simple Reaction Time-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_sim_reac_time_std_sc,cns_vital_signs_1,,text,"ST-Simple Reaction Time-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_comp_rea_tim_cor_sc,cns_vital_signs_1,,text,"ST-Complex Reaction Time Correct-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_comp_rea_tim_st_sc,cns_vital_signs_1,,text,"ST-Complex Reaction Time Correct-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_str_rea_tim_sc,cns_vital_signs_1,,text,"ST-Stroop Reaction Time Correct-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_str_rea_tim_st_sc,cns_vital_signs_1,,text,"ST-Stroop Reaction Time Correct-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_str_com_err_sc,cns_vital_signs_1,,text,"ST-Stroop Commission Errors-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_st_str_com_err_st_sc,cns_vital_signs_1,,text,"ST-Stroop Commission Errors-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sat_cor_resp_score,cns_vital_signs_1,,text,"SAT-Correct Responses-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sat_cor_res_st_sc,cns_vital_signs_1,,text,"SAT-Correct Responses-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sat_err_score,cns_vital_signs_1,,text,"SAT-Errors-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sat_err_std_score,cns_vital_signs_1,,text,"SAT-Errors-Standard Score
",,,,,,,[cns_conducted] = '1',,LH,,,,
cns_sat_corr_rea_tim_score,cns_vital_signs_1,,text,"SAT-Correct Reaction Time-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_sat_corr_rea_tim_std_sc,cns_vital_signs_1,,text,"SAT-Correct Reaction Time-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_cor_resp_score,cns_vital_signs_1,,text,"CPT-Correct Responses-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_cor_resp_std_sc,cns_vital_signs_1,,text,"CPT-Correct Responses-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_om_err_score,cns_vital_signs_1,,text,"CPT-Omission Errors-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_om_err_std_sc,cns_vital_signs_1,,text,"CPT-Omission Errors-Standard Scores
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_com_err_scores,cns_vital_signs_1,,text,"CPT-Commission Errors-Scores 
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_comm_err_std_sc,cns_vital_signs_1,,text,"CPT-Commission Errors-Standard Scores
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_ch_reac_tim_score,cns_vital_signs_1,,text,"CPT-Choice Reaction Time Correct-Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_cpt_ch_reac_tim_st_sc,cns_vital_signs_1,,text,"CPT-Choice Reaction Time Correct-Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_cor_resp_sc,cns_vital_signs_1,,text,"POET-Correct Responses Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_cor_res_std_sc,cns_vital_signs_1,,text,"POET-Correct Responses Standard Scores
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_av_cor_reac_sc,cns_vital_signs_1,,text,"POET-Average Correct Reaction Time Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_av_cor_reac_std_sc,cns_vital_signs_1,,text,"POET- Average Correct Reaction Time Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_omis_arr_sc,cns_vital_signs_1,,text,"POET-Omission Errors Score 
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_omis_err_std_sc,cns_vital_signs_1,,text,"POET-Omission Errors Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_com_err_sc,cns_vital_signs_1,,text,"POET-Commission Errors Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_com_err_std_sc,cns_vital_signs_1,,text,"POET-Commission Errors Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_pos_em_cor_sc,cns_vital_signs_1,,text,"POET-Positive Emotions Correct Hits Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_pos_em_cor_std_sc,cns_vital_signs_1,,text,"POET-Positive Emotions Correct Hits Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_pos_em_reac_sc,cns_vital_signs_1,,text,"POET-Positive Emotions Reaction Time Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_pos_em_reac_std_sc,cns_vital_signs_1,,text,"POET-Positive Emotions Reaction Time Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_neg_em_cor_sc,cns_vital_signs_1,,text,"POET-Negative Emotions Correct Hits Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_neg_em_cor_std_sc,cns_vital_signs_1,,text,"POET-Negative Emotions Correct Hits Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_neg_em_reac_sc,cns_vital_signs_1,,text,"POET-Negative Emotions Reaction Time Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
cns_poet_neg_em_reac_std_sc,cns_vital_signs_1,,text,"POET-Negative Emotions Reaction Time Standard Score
",,,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_1_a,cns_vital_signs_1,ASRS,radio,"1. How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_2_a,cns_vital_signs_1,,radio,"2. How often do you have difficulty getting things in order when you have a task that requires organization?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_3_a,cns_vital_signs_1,,radio,"3. How often do you have problem remembering appointments or obligations?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_4_a,cns_vital_signs_1,,radio,"4. When you have a task that requires a lot of thought, how often do you avoid or delay getting started?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_5_a,cns_vital_signs_1,,radio,"5. How often do you fidget or squirm with your hands or feet when you have to sit for a long time?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_6_a,cns_vital_signs_1,,radio,"6. How often do you feel overly active and compelled to do things, like you were driven by a motor?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_a_total_a,cns_vital_signs_1,,text,"ASRS Part A Total
",,,,,,,[cns_conducted] = '1',y,LH,,,,
asrs_total_symp,cns_vital_signs_1,,calc,Total Symptoms Score,"sum([code_asrs_1],[code_asrs_2],[code_asrs_3],[code_asrs_4],[code_asrs_5],[code_asrs_6])",,,,,,,,,,,,
code_asrs_1,cns_vital_signs_1,,calc,Code ASRS 1,"if([asrs_1_a]>=3,1,0)",,,,,,,,,,,,
code_asrs_2,cns_vital_signs_1,,calc,Code ASRS 2,"if([asrs_2_a]>=3,1,0)",,,,,,,,,,,,
code_asrs_3,cns_vital_signs_1,,calc,Code ASRS 3,"if([asrs_3_a]>=3,1,0)",,,,,,,,,,,,
code_asrs_4,cns_vital_signs_1,,calc,Code ASRS 4,"if([asrs_4_a]>=4,1,0)",,,,,,,,,,,,
code_asrs_5,cns_vital_signs_1,,calc,Code ASRS 5,"if([asrs_5_a]>=4,1,0)",,,,,,,,,,,,
code_asrs_6,cns_vital_signs_1,,calc,Code ASRS 6,"if([asrs_6_a]>=4,1,0)",,,,,,,,,,,,
asrs_7_a,cns_vital_signs_1,ASRS Part B,radio,7. How often do you make a careless mistake when you have to work on a boring or difficult project?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_8_a,cns_vital_signs_1,,radio,8. How often do you have difficulty keeping your attention when doing boring or repetitive work?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_9_a,cns_vital_signs_1,,radio,"9. How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_10_a,cns_vital_signs_1,,radio,10. How often do you misplace or have difficulty finding things at home or work?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_11_a,cns_vital_signs_1,,radio,11. How often are you distracted by activity or noise around you?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_12_a,cns_vital_signs_1,,radio,12. How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_13_a,cns_vital_signs_1,,radio,13. How often do you feel restless or fidgety?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_14_a,cns_vital_signs_1,,radio,14. How often do you have difficulty unwinding and relaxing when you have time to yourself?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_15_a,cns_vital_signs_1,,radio,15. How often do you find yourself talking too much when you are in social situations?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_16_a,cns_vital_signs_1,,radio,"16. When you're in a conversation, how often do you find yourself finishing the sentences of people you are talking to, before they can finish themselves?","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_17_a,cns_vital_signs_1,,radio,"17, How often do have difficulty waiting your turn in situations when taking turns is required?","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
asrs_18_a,cns_vital_signs_1,,radio,18. How often do you interrupt others when they are busy?,"0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Very Often",,,,,,[cns_conducted] = '1',y,,,asrsv11_adult_adhd_scale_part_b,,
audit_1_a,cns_vital_signs_1,AUDIT,radio,"1. How often do you have a drink containing alcohol?
","0, Never | 1, Monthly or Less | 2, 2-4 times a month | 3, 2-3 times a week | 4, 4 or more times a week",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_2_a,cns_vital_signs_1,,radio,"2. How many drinks containing alcohol do you have on a typical day when you are drinking? 
","0, 1 or 2 | 1, 3 or 4 | 2, 5 or 6 | 3, 7 to 9 | 4, 10 or more",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_3_a,cns_vital_signs_1,,radio,"3. How often do you have six or more drinks on one occasion?
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_4_a,cns_vital_signs_1,,radio,"4. How often during the last year have found that you were not able to stop drinking once you had started?
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_5_a,cns_vital_signs_1,,radio,"5. How often during the last year have you failed to do what was normally expected of you because of drinking
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_6_a,cns_vital_signs_1,,radio,"6. How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_7_a,cns_vital_signs_1,,radio,"7. How often during the last year have you had feelings of guilt or remorse after drinking?
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_8_a,cns_vital_signs_1,,radio,"8. How often during the last year have you been unable to remember what happened the night before because of your drinking?
","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_9_a,cns_vital_signs_1,,radio,"9. Have you or someone else been injured because of your drinking?
","0, No | 2, Yes, but not in the last year | 4, Yes, during the last year",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_10_a,cns_vital_signs_1,,radio,"10. Has a relative, friend, doctor, or other health care working been concerned about your drinking or suggested that you cut down?
","0, No | 2, Yes, but not in the past year | 4, Yes, during the past year",,,,,,[cns_conducted] = '1',y,LH,,,,
audit_score_a,cns_vital_signs_1,,calc,"AUDIT Total Score
","sum([audit_1_a],[audit_2_a],[audit_3_a],[audit_4_a],[audit_5_a],[audit_6_a],[audit_7_a],[audit_8_a],[audit_9_a],[audit_10_a])",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_1_a,cns_vital_signs_1,DAST,radio,"1. Have you used drugs other than those required for medical reasons? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_2_a,cns_vital_signs_1,,radio,"2. Have you abused prescription drugs? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_3_a,cns_vital_signs_1,,radio,"3. Do you abuse more than one drug at a time? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_4_a,cns_vital_signs_1,,radio,"4. Can you get through the week without using drugs?
 

","0, Yes | 1, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_5_a,cns_vital_signs_1,,radio,"5. Are you always able to stop using drugs when you want to? 
","0, Yes | 1, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_6_a,cns_vital_signs_1,,radio,"6. Have you had ""blackouts"" or ""flashbacks"" as a result of drug use? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_7_a,cns_vital_signs_1,,radio,"7. Do you ever feel bad or guilty about your drug abuse? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_8_a,cns_vital_signs_1,,radio,"8. Does your spouse (or parents) ever complain about your involvement with drugs? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_9_a,cns_vital_signs_1,,radio,"9. Has drug abuse ever created problems between you and your spouse or your parents?
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_10_a,cns_vital_signs_1,,radio,"10. Have you lost friends because of your use of drugs? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_11_a,cns_vital_signs_1,,radio,"11. Have you neglected your family because of your use of drugs? 

","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_12_a,cns_vital_signs_1,,radio,"12. Have you ever been in trouble at work because of drug abuse? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_13_a,cns_vital_signs_1,,radio,"13. Have you ever lost a job because of drug abuse? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_14_a,cns_vital_signs_1,,radio,"14. Have you gotten into fights when under the influence of drugs? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_15_a,cns_vital_signs_1,,radio,"15. Have you engaged in illegal activities in order to obtain drug? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_16_a,cns_vital_signs_1,,radio,"16. Have you been arrested for possession of illegal drugs? 
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_17_a,cns_vital_signs_1,,radio,"17. Have you ever experienced withdrawal symptoms when you stopped taking drugs? 

","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_18_a,cns_vital_signs_1,,radio,"18. Have you had medical problems as a result of your drug use (e.g., memory loss, hepatitis, convulsions, bleeding, etc.)? 

","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_19_a,cns_vital_signs_1,,radio,"19. Have you gone to anyone for help for a drug problem?
","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_20_a,cns_vital_signs_1,,radio,"20. Have you been involved in a treatment program specifically related to drug use? 

","1, Yes | 0, No",,,,,,[cns_conducted] = '1',y,LH,,,,
dast_total_a,cns_vital_signs_1,,calc,"DAST Total
","sum([dast_1_a], [dast_2_a],[dast_3_a],[dast_4_a],[dast_5_a],[dast_6_a],[dast_7_a],[dast_8_a],[dast_9_a],[dast_10_a],[dast_11_a],[dast_12_a],[dast_13_a],[dast_14_a],[dast_15_a],[dast_16_a],[dast_17_a],[dast_18_a],[dast_19_a],[dast_20_a])",,,,,,[cns_conducted] = '1',y,LH,,,,
mmpi_vs_complete,mmpi_validity_clinical_scales,,yesno,Was MMPI completed?   ,,,,,,,,y,,,,,
t_valid,mmpi_validity_clinical_scales,,yesno,Test Valid?,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_date,mmpi_validity_clinical_scales,,text,Test Date,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_days,mmpi_validity_clinical_scales,,text,# of days post-admission,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_vrin,mmpi_validity_clinical_scales,MMPI-Validity Scale,text,1. VRIN,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_trin,mmpi_validity_clinical_scales,,text,2. TRIN,,,,,,,[mmpi_vs_complete] = '1',,,,,,
trin_sub_t_f,mmpi_validity_clinical_scales,,truefalse,2a. TRIN subscale T/F?,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_f,mmpi_validity_clinical_scales,,text,3. F,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_fb,mmpi_validity_clinical_scales,,text,4. FB,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_fp,mmpi_validity_clinical_scales,,text,5. FP,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_fbs,mmpi_validity_clinical_scales,,text,6. FBS,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_l,mmpi_validity_clinical_scales,,text,7. L,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_k,mmpi_validity_clinical_scales,,text,8. K,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_s,mmpi_validity_clinical_scales,,text,9. S,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_1,mmpi_validity_clinical_scales,MMPI-Clinical Scale,text,1. 1,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_2,mmpi_validity_clinical_scales,,text,2. 2,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_3,mmpi_validity_clinical_scales,,text,3. 3,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_4,mmpi_validity_clinical_scales,,text,4. 4,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_5,mmpi_validity_clinical_scales,,text,5. 5,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_6,mmpi_validity_clinical_scales,,text,6. 6,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_7,mmpi_validity_clinical_scales,,text,7. 7,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_8,mmpi_validity_clinical_scales,,text,8. 8,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_9,mmpi_validity_clinical_scales,,text,9. 9,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_0,mmpi_validity_clinical_scales,,text,10. 0,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rcd_dem,mmpi_validity_clinical_scales,Restructured Clinical Scales Profile ,text,1. RCd_dem,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc1_som,mmpi_validity_clinical_scales,,text,2. RC1_som,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc2_lpe,mmpi_validity_clinical_scales,,text,3. RC2_lpe,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc3_cyn,mmpi_validity_clinical_scales,,text,4.RC3_cyn,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc4_asb,mmpi_validity_clinical_scales,,text,5. RC4_asb,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc6_per,mmpi_validity_clinical_scales,,text,6. RC6_per,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc7_dne,mmpi_validity_clinical_scales,,text,7. RC7_dne,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc8_abx,mmpi_validity_clinical_scales,,text,8. RC8_abx,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_rc9_hpm,mmpi_validity_clinical_scales,,text,9. RC9_hpm,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_anx,mmpi_validity_clinical_scales,MMPI- Content Scale,text,1. ANX,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_frs,mmpi_validity_clinical_scales,,text,2. FRS,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_obs,mmpi_validity_clinical_scales,,text,3. OBS,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_dep,mmpi_validity_clinical_scales,,text,4. DEP,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_hea,mmpi_validity_clinical_scales,,text,5. HEA,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_biz,mmpi_validity_clinical_scales,,text,6. BIZ,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_ang,mmpi_validity_clinical_scales,,text,7. ANG,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_cyn,mmpi_validity_clinical_scales,,text,8. CYN,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_asp,mmpi_validity_clinical_scales,,text,9. ASP,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_tpa,mmpi_validity_clinical_scales,,text,10. TPA,,,,,,,[mmpi_vs_complete] = '1',,,,,,
t_lse,mmpi_validity_clinical_scales,,text,11. LSE,,,,,,,[mmpi_vs_complete] = '1',,,,,,
